IP;Port;Country;Organization;Title;Version
###;8069;South Sudan;#####;Odoo;13
###;8069;South Sudan;#####;Odoo;13
###;8069;South Sudan;#####;Odoo;13
###;8069;South Sudan;#####;Odoo;14
###;18076;Gambia;#####;Odoo;14
###;8072;Benin;#####;Odoo;14
###;8014;Angola;#####;Odoo;15
###;8069;South Sudan;#####;Odoo;15
###;80;Angola;#####;Odoo;16
###;8069;Zambia;#####;Odoo;16
###;8069;Benin;#####;Odoo;16
###;8069;Benin;#####;Odoo;16
###;8071;Benin;#####;Odoo;16
###;8010;Benin;#####;Odoo;16
###;8069;South Sudan;#####;Odoo;17
###;8069;Zambia;#####;Odoo;17
###;8069;Zambia;#####;Odoo;17
###;8069;Zambia;#####;Odoo;17
###;8851;South Sudan;#####;Odoo;18
###;8069;Zambia;#####;Odoo;18
###;8070;Algeria;#####;Odoo;13.0
###;8070;Algeria;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8069;Ghana;#####;Odoo;13.0
###;8090;Libya;#####;Odoo;13.0
###;8067;South Africa;#####;Odoo;13.0
###;8069;South Africa;#####;Odoo;13.0
###;80;Somalia;#####;Odoo;13.0
###;8870;Somalia;#####;Odoo;13.0
###;80;Somalia;#####;Odoo;13.0
###;80;Nigeria;#####;Odoo;13.0
###;8010;Nigeria;#####;Odoo;13.0
###;8069;Nigeria;#####;Odoo;13.0
###;80;Tanzania, United Republic of;#####;Odoo;13.0
###;8013;Tanzania, United Republic of;#####;Odoo;13.0
###;8069;Kenya;#####;Odoo;13.0
###;8069;Kenya;#####;Odoo;13.0
###;80;Egypt;#####;Odoo;13.0
###;80;Egypt;#####;Odoo;13.0
###;8072;Egypt;#####;Odoo;13.0
###;8069;Egypt;#####;Odoo;13.0
###;8069;Egypt;#####;Odoo;13.0
###;8080;Egypt;#####;Odoo;13.0
###;8069;Egypt;#####;Odoo;13.0
###;8069;Egypt;#####;Odoo;13.0
###;8069;Egypt;#####;Odoo;13.0
###;8069;Egypt;#####;Odoo;13.0
###;8069;Egypt;#####;Odoo;13.0
###;4010;Egypt;#####;Odoo;13.0
###;8069;Egypt;#####;Odoo;13.0
###;8069;Tunisia;#####;Odoo;13.0
###;8069;Tunisia;#####;Odoo;13.0
###;8099;Tunisia;#####;Odoo;13.0
###;8069;Tunisia;#####;Odoo;13.0
###;80;Madagascar;#####;Odoo;13.0
###;8069;Madagascar;#####;Odoo;13.0
###;8069;Madagascar;#####;Odoo;13.0
###;8069;Mozambique;#####;Odoo;13.0
###;9999;Morocco;#####;Odoo;13.0
###;8070;Morocco;#####;Odoo;13.0
###;8069;Morocco;#####;Odoo;13.0
###;4200;Morocco;#####;Odoo;13.0
###;80;Guinea;#####;Odoo;14.0
###;34500;Guinea;#####;Odoo;14.0
###;8079;Algeria;#####;Odoo;14.0
###;8069;Algeria;#####;Odoo;14.0
###;8069;Algeria;#####;Odoo;14.0
###;8069;Algeria;#####;Odoo;14.0
###;8069;Algeria;#####;Odoo;14.0
###;8069;Côte d'Ivoire;#####;Odoo;14.0
###;8069;Chad;#####;Odoo;14.0
###;8069;Chad;#####;Odoo;14.0
###;80;Ghana;#####;Odoo;14.0
###;8069;Libya;#####;Odoo;14.0
###;80;Libya;#####;Odoo;14.0
###;8069;Libya;#####;Odoo;14.0
###;80;South Africa;#####;Odoo;14.0
###;80;South Africa;#####;Odoo;14.0
###;8069;South Africa;#####;Odoo;14.0
###;8069;South Africa;#####;Odoo;14.0
###;8069;South Africa;#####;Odoo;14.0
###;8069;South Africa;#####;Odoo;14.0
###;7079;South Africa;#####;Odoo;14.0
###;8064;South Africa;#####;Odoo;14.0
###;8064;South Africa;#####;Odoo;14.0
###;44500;Mali;#####;Odoo;14.0
###;8069;Mali;#####;Odoo;14.0
###;8069;Mali;#####;Odoo;14.0
###;80;Somalia;#####;Odoo;14.0
###;8070;Somalia;#####;Odoo;14.0
###;8069;Mauritius;#####;Odoo;14.0
###;8069;Nigeria;#####;Odoo;14.0
###;8069;Nigeria;#####;Odoo;14.0
###;8069;Ethiopia;#####;Odoo;14.0
###;8069;Ethiopia;#####;Odoo;14.0
###;8069;Ethiopia;#####;Odoo;14.0
###;8069;Ethiopia;#####;Odoo;14.0
###;8069;Kenya;#####;Odoo;14.0
###;8069;Kenya;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;80;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;80;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Egypt;#####;Odoo;14.0
###;8069;Tunisia;#####;Odoo;14.0
###;8069;Madagascar;#####;Odoo;14.0
###;80;Madagascar;#####;Odoo;14.0
###;8080;Madagascar;#####;Odoo;14.0
###;80;Madagascar;#####;Odoo;14.0
###;9090;Uganda;#####;Odoo;14.0
###;8117;Uganda;#####;Odoo;14.0
###;80;Uganda;#####;Odoo;14.0
###;8069;Uganda;#####;Odoo;14.0
###;8069;Sudan;#####;Odoo;14.0
###;8060;Sudan;#####;Odoo;14.0
###;80;Sudan;#####;Odoo;14.0
###;8069;Sudan;#####;Odoo;14.0
###;8014;Morocco;#####;Odoo;14.0
###;5010;Morocco;#####;Odoo;14.0
###;4300;Morocco;#####;Odoo;14.0
###;8069;Morocco;#####;Odoo;14.0
###;8012;Morocco;#####;Odoo;14.0
###;8090;Morocco;#####;Odoo;14.0
###;8070;Morocco;#####;Odoo;14.0
###;8069;Morocco;#####;Odoo;14.0
###;8069;Morocco;#####;Odoo;14.0
###;8069;Morocco;#####;Odoo;14.0
###;8014;Morocco;#####;Odoo;14.0
###;80;Senegal;#####;Odoo;15.0
###;2200;Guinea;#####;Odoo;15.0
###;8069;Algeria;#####;Odoo;15.0
###;8069;Algeria;#####;Odoo;15.0
###;8098;Algeria;#####;Odoo;15.0
###;8069;Algeria;#####;Odoo;15.0
###;1969;Algeria;#####;Odoo;15.0
###;8072;Algeria;#####;Odoo;15.0
###;8072;Algeria;#####;Odoo;15.0
###;8069;Côte d'Ivoire;#####;Odoo;15.0
###;8090;Côte d'Ivoire;#####;Odoo;15.0
###;8075;Côte d'Ivoire;#####;Odoo;15.0
###;8069;Côte d'Ivoire;#####;Odoo;15.0
###;8069;Ghana;#####;Odoo;15.0
###;2063;Libya;#####;Odoo;15.0
###;7016;Libya;#####;Odoo;15.0
###;9167;Libya;#####;Odoo;15.0
###;1024;Libya;#####;Odoo;15.0
###;16042;Libya;#####;Odoo;15.0
###;11688;Libya;#####;Odoo;15.0
###;1976;Libya;#####;Odoo;15.0
###;8605;Libya;#####;Odoo;15.0
###;5998;Libya;#####;Odoo;15.0
###;10013;Libya;#####;Odoo;15.0
###;52200;Libya;#####;Odoo;15.0
###;8069;Libya;#####;Odoo;15.0
###;52311;Libya;#####;Odoo;15.0
###;10909;Libya;#####;Odoo;15.0
###;6581;Libya;#####;Odoo;15.0
###;3168;Libya;#####;Odoo;15.0
###;9205;Libya;#####;Odoo;15.0
###;12555;Libya;#####;Odoo;15.0
###;8023;Libya;#####;Odoo;15.0
###;9120;Libya;#####;Odoo;15.0
###;30013;Libya;#####;Odoo;15.0
###;8090;Libya;#####;Odoo;15.0
###;7547;Libya;#####;Odoo;15.0
###;995;Libya;#####;Odoo;15.0
###;3175;Libya;#####;Odoo;15.0
###;3148;Libya;#####;Odoo;15.0
###;8163;Libya;#####;Odoo;15.0
###;685;Libya;#####;Odoo;15.0
###;50004;Libya;#####;Odoo;15.0
###;6633;Libya;#####;Odoo;15.0
###;5357;Libya;#####;Odoo;15.0
###;5259;Libya;#####;Odoo;15.0
###;9383;Libya;#####;Odoo;15.0
###;44341;Libya;#####;Odoo;15.0
###;9037;Libya;#####;Odoo;15.0
###;8001;Libya;#####;Odoo;15.0
###;8871;Libya;#####;Odoo;15.0
###;4848;Libya;#####;Odoo;15.0
###;221;Libya;#####;Odoo;15.0
###;9191;Libya;#####;Odoo;15.0
###;12199;Libya;#####;Odoo;15.0
###;3345;Libya;#####;Odoo;15.0
###;548;Libya;#####;Odoo;15.0
###;10080;Libya;#####;Odoo;15.0
###;5242;Libya;#####;Odoo;15.0
###;42424;Libya;#####;Odoo;15.0
###;8069;Libya;#####;Odoo;15.0
###;5601;Libya;#####;Odoo;15.0
###;8440;Libya;#####;Odoo;15.0
###;63443;Libya;#####;Odoo;15.0
###;110;Libya;#####;Odoo;15.0
###;12525;Libya;#####;Odoo;15.0
###;18057;Libya;#####;Odoo;15.0
###;8185;Libya;#####;Odoo;15.0
###;7887;Libya;#####;Odoo;15.0
###;8010;Libya;#####;Odoo;15.0
###;3132;Libya;#####;Odoo;15.0
###;2404;Libya;#####;Odoo;15.0
###;44399;Libya;#####;Odoo;15.0
###;57788;Libya;#####;Odoo;15.0
###;9869;Libya;#####;Odoo;15.0
###;16404;Libya;#####;Odoo;15.0
###;179;Libya;#####;Odoo;15.0
###;8112;Libya;#####;Odoo;15.0
###;12547;Libya;#####;Odoo;15.0
###;31001;Libya;#####;Odoo;15.0
###;12295;Libya;#####;Odoo;15.0
###;5022;Libya;#####;Odoo;15.0
###;9800;Libya;#####;Odoo;15.0
###;9872;Libya;#####;Odoo;15.0
###;55555;Libya;#####;Odoo;15.0
###;32400;Libya;#####;Odoo;15.0
###;8493;Libya;#####;Odoo;15.0
###;4343;Libya;#####;Odoo;15.0
###;6664;Libya;#####;Odoo;15.0
###;3004;Libya;#####;Odoo;15.0
###;7989;Libya;#####;Odoo;15.0
###;10348;Libya;#####;Odoo;15.0
###;1200;Libya;#####;Odoo;15.0
###;2599;Libya;#####;Odoo;15.0
###;8788;Libya;#####;Odoo;15.0
###;3689;Libya;#####;Odoo;15.0
###;18081;Libya;#####;Odoo;15.0
###;9092;Libya;#####;Odoo;15.0
###;5560;Libya;#####;Odoo;15.0
###;20900;Libya;#####;Odoo;15.0
###;9154;Libya;#####;Odoo;15.0
###;13380;Libya;#####;Odoo;15.0
###;15002;Libya;#####;Odoo;15.0
###;5051;Libya;#####;Odoo;15.0
###;3443;Libya;#####;Odoo;15.0
###;5122;Libya;#####;Odoo;15.0
###;17772;Libya;#####;Odoo;15.0
###;8888;Libya;#####;Odoo;15.0
###;5254;Libya;#####;Odoo;15.0
###;8637;Libya;#####;Odoo;15.0
###;2709;Libya;#####;Odoo;15.0
###;45821;Libya;#####;Odoo;15.0
###;50997;Libya;#####;Odoo;15.0
###;8060;Libya;#####;Odoo;15.0
###;3301;Libya;#####;Odoo;15.0
###;12084;Libya;#####;Odoo;15.0
###;6005;Libya;#####;Odoo;15.0
###;12184;Libya;#####;Odoo;15.0
###;4165;Libya;#####;Odoo;15.0
###;3402;Libya;#####;Odoo;15.0
###;1741;Libya;#####;Odoo;15.0
###;12308;Libya;#####;Odoo;15.0
###;18014;Libya;#####;Odoo;15.0
###;2222;Libya;#####;Odoo;15.0
###;12413;Libya;#####;Odoo;15.0
###;16024;Libya;#####;Odoo;15.0
