IP;Port;Country;Organization;Title;Version
###;8069;Others;#####;Odoo;14.0
###;80;Others;#####;Odoo;16.0
###;8069;Others;#####;Odoo;16.0
###;8069;Austria;#####;Odoo;13.0
###;80;Austria;#####;Odoo;13.0
###;8069;Austria;#####;Odoo;14.0
###;8069;Austria;#####;Odoo;14.0
###;8069;Austria;#####;Odoo;14.0
###;8069;Austria;#####;Odoo;14.0
###;8069;Austria;#####;Odoo;14.0
###;8069;Austria;#####;Odoo;14.0
###;8069;Austria;#####;Odoo;14.0
###;8069;Austria;#####;Odoo;14.0
###;8071;Austria;#####;Odoo;14.0
###;9069;Austria;#####;Odoo;15.0
###;8069;Austria;#####;Odoo;15.0
###;8069;Austria;#####;Odoo;15.0
###;8069;Austria;#####;Odoo;15.0
###;8569;Austria;#####;Odoo;15.0
###;8069;Austria;#####;Odoo;15.0
###;8072;Austria;#####;Odoo;15.0
###;8069;Austria;#####;Odoo;16.0
###;8069;Austria;#####;Odoo;17.0
###;8069;Austria;#####;Odoo;17.0
###;8069;Austria;#####;Odoo;17.0
###;8069;Austria;#####;Odoo;17.0
###;8069;Austria;#####;Odoo;17.0
###;8069;Austria;#####;Odoo;17.0
###;8068;Austria;#####;Odoo;17.0
###;8814;Others;#####;Odoo;13.0
###;8813;Others;#####;Odoo;13.0
###;8069;Others;#####;Odoo;17.0
###;8072;Others;#####;Odoo;17.0
###;80;Belgium;#####;Odoo;13.0
###;8021;Belgium;#####;Odoo;13.0
###;8569;Belgium;#####;Odoo;13.0
###;8172;Belgium;#####;Odoo;13.0
###;8069;Belgium;#####;Odoo;13.0
###;8069;Belgium;#####;Odoo;13.0
###;8069;Belgium;#####;Odoo;13.0
###;8072;Belgium;#####;Odoo;13.0
###;80;Belgium;#####;Odoo;13.0
###;8072;Belgium;#####;Odoo;13.0
###;80;Belgium;#####;Odoo;13.0
###;8013;Belgium;#####;Odoo;13.0
###;8069;Belgium;#####;Odoo;14.0
###;8069;Belgium;#####;Odoo;14.0
###;8070;Belgium;#####;Odoo;14.0
###;8069;Belgium;#####;Odoo;14.0
###;8069;Belgium;#####;Odoo;14.0
###;8069;Belgium;#####;Odoo;14.0
